Team,Opposing_Team,Pitch_Speed,Pitch_Type,Exit_Velocity,Launch_Angle,Distance
TOR,CWS,83.4,Slider,107.7,37,380
PHI,NYY,95.4,4,115.2,24,380
CLE,TOR,96.7,Sinker,101.7,31,380
BAL,COL,91.1,4,106.3,45,380
CWS,CHC,90.3,4,108.4,43,380
CLE,BAL,93.2,4,102.3,33,380
SD,PIT,90.2,4,100.2,33,380
KC,BAL,92.8,Changeup,100.1,30,380
SF,CHC,78.5,Changeup,102.9,24,380
AZ,WSH,92.1,4,110.7,23,380
COL,PIT,81.4,Slider,97.9,35,380
ATL,AZ,89.7,4,113.1,23,380
AZ,LAD,97.4,4,103.5,37,380
WSH,BAL,88.6,Cutter,105.2,23,380
CIN,CLE,91,Slider,102.4,28,380
NYY,TOR,94.8,4,109.4,22,380
MIA,PHI,100.9,4,108.3,39,380
PHI,SF,94.4,4,105.7,23,380
CLE,HOU,80.6,Sweeper,104.7,25,380
LAD,AZ,84.5,Sweeper,101.1,37,380
KC,CWS,91.4,Sinker,102.6,30,380
MIN,MIL,79.3,Sweeper,106.8,21,380
MIA,HOU,81.4,Sweeper,103.5,38,380
KC,CHC,96.8,4,105.3,28,380
TB,CWS,81,Changeup,98.5,24,380
PHI,BOS,85.3,Slider,107.7,28,380
NYY,TOR,83.8,Slider,110.9,17,380
LAA,NYM,90,4,103.3,28,380
NYM,MIA,97.9,4,103.3,27,380
CHC,COL,80.2,Curveball,103.7,36,379
SF,WSH,93.6,4,101.2,27,379
CLE,LAD,93.8,Sinker,102.9,28,379
CLE,SEA,95.7,Sinker,105,26,379
ATH,CIN,92.5,4,104.6,23,379
ATH,CIN,93.9,Sinker,100.5,38,379
LAD,CHC,90.1,4,108.1,37,379
MIA,BAL,81.8,Slider,98.3,34,379
ATL,STL,85.2,Sweeper,108.7,39,379
SF,LAD,94.4,Sinker,99.8,29,379
CHC,NYY,84.7,Curveball,106.4,26,379
LAD,CHC,83.6,Slider,98,31,379
STL,HOU,91,4,100.3,30,379
NYM,ATH,86.4,Slider,107.7,38,379
TB,ATL,82.5,Slider,108.7,29,379
MIN,KC,93.1,Sinker,103.3,37,379
CHC,STL,85.4,Sweeper,98.2,34,379
TB,CWS,81.2,Curveball,102.8,32,379
SF,SEA,96.1,4,101.9,26,379
CIN,MIL,84.7,Cutter,103.7,26,379
DET,NYY,90.5,Sinker,98.5,29,379
WSH,LAD,93.1,4,102.8,30,379
AZ,SD,90.6,Cutter,96.2,32,379
CHC,PIT,80.8,Changeup,103.6,29,379
CHC,STL,79.8,Curveball,99.1,24,379
TB,CLE,93.5,4,103.6,31,379
HOU,MIL,95.7,4,104.9,24,379
CHC,SF,94,4,104.7,25,379
BOS,TEX,93.8,4,103,27,379
ATH,SF,89.4,Cutter,106,25,379
SF,AZ,92.1,4,97.4,28,379
NYM,MIL,97.4,4,99.7,34,379
PHI,SD,90,Slider,104.9,40,379
NYY,MIL,84.1,Slider,109.2,23,379
LAA,ATH,83.3,Slider,103.3,38,379
CHC,AZ,95.1,4,98.9,25,379
DET,LAD,94.4,Sinker,99.7,22,379
COL,TOR,83.4,Slurve,92.1,31,379
CHC,CIN,81.4,Sweeper,110.4,20,379
DET,PIT,78.5,Sweeper,103.4,36,379
BOS,SEA,94.2,4,96.3,32,379
KC,CLE,86.7,Cutter,100.6,42,379
DET,AZ,81.6,Curveball,99.4,28,379
NYY,TB,88.9,Changeup,100.5,26,379
WSH,CIN,96.7,Cutter,103.8,26,379
SEA,MIN,86.3,Changeup,100.6,33,379
CWS,AZ,79.3,Knuckle Curve,105.5,33,379
TB,DET,83.2,Slurve,100.1,34,379
CHC,MIL,86,Slider,99.6,27,379
LAA,TEX,81.2,Changeup,97.7,35,379
CWS,PHI,86.4,Split-Finger,107.9,20,379
CLE,MIN,84.6,Slider,104.5,27,379
CWS,DET,85.3,Slider,101.1,27,379
SF,SD,91.6,4,106.8,22,379
PHI,WSH,96.2,4,101.5,36,379
MIL,SF,85.2,Slider,100,35,379
PHI,MIA,98.3,Sinker,106,21,379
HOU,LAD,96.1,4,103,29,379
NYM,SEA,95.1,4,100.6,32,379
LAA,LAD,92.7,4,99.2,30,379
SF,ATH,91.7,4,106.8,20,379
WSH,SEA,95.4,4,107.5,22,378
LAD,CLE,96.5,4,115,28,378
TB,TOR,82.5,Changeup,99.3,27,378
ATL,WSH,88.1,Slider,104.1,26,378
SD,COL,93.1,Sinker,105.8,25,378
CWS,CLE,91.3,4,111.1,23,378
COL,CIN,90.1,Slider,97.9,38,378
CHC,LAD,98,4,102.9,32,378
SF,PHI,92.4,Sinker,101.4,31,378
DET,NYY,77.3,Changeup,109,26,378
LAD,WSH,94.4,4,101.9,28,378
LAD,WSH,94.3,4,104.5,28,378
SF,CIN,95.3,4,101.6,31,378
WSH,NYM,94.7,4,99,26,378
LAD,SF,91.6,Sinker,106.2,33,378
CHC,CLE,81,Curveball,104.4,38,378
NYY,ATH,94.1,4,101.6,26,378
COL,SF,86.6,Slider,99.2,29,378
CWS,NYY,94.1,4,107.4,26,378
HOU,LAA,86.9,Slider,105.2,22,378
PHI,MIA,87.7,Sweeper,101.1,34,378
MIL,NYM,93.4,Cutter,101.8,27,378
MIL,NYM,94.7,Sinker,101.8,26,378
MIN,TB,91.8,Sinker,109.7,19,378
LAD,MIL,91.1,Sinker,108.7,22,378
BOS,TOR,94,4,99.6,25,378
MIL,TB,96.5,Sinker,107.9,25,378
LAD,SD,87.7,Cutter,101.6,34,378
LAD,DET,96.7,4,95.8,28,378
CIN,MIL,88.4,Cutter,98.8,24,378
CLE,NYM,83.3,Slider,105.6,22,378
SEA,CWS,79.8,Sweeper,104.8,23,378
MIL,AZ,93.5,4,101,32,378
DET,KC,75,Curveball,96.2,24,378
STL,CWS,96.3,4,113,18,378
COL,NYM,90.2,Changeup,99.5,26,378
PHI,NYY,86.8,Slider,99.4,26,378
NYM,COL,83.5,Slider,97.9,30,378
HOU,TB,83,Split-Finger,99,32,378
TB,NYY,89.2,4,104,27,378
NYY,BAL,85,Changeup,96.8,24,378
NYM,ATL,96.2,4,97.6,33,378
HOU,LAA,86.5,Sinker,99.1,33,378
DET,SEA,84.1,Slider,103.5,34,378
MIA,NYY,97.2,4,102.7,21,378
CWS,PHI,94.7,4,97.6,31,378
ATL,AZ,91,Cutter,104,23,378
MIN,CWS,86.5,Slider,98.9,30,378
ATH,HOU,90.2,4,109.3,36,378
LAA,CHC,76.8,Curveball,105.8,26,378
ATL,CWS,95.1,Sinker,101,24,378
CLE,ATL,92.9,4,102.9,29,378
CLE,HOU,88.7,Changeup,101.2,34,378
ATL,ATH,84.5,Slider,106,25,378
LAA,TEX,95.7,Sinker,106.7,20,378
KC,PIT,90.5,4,95,28,378
PIT,MIL,83.3,Sweeper,101.8,34,378
MIL,CIN,81,Sweeper,100.9,31,378
ATL,BOS,96.6,4,100,30,378
AZ,COL,98.7,4,94.4,33,378
LAD,STL,77.6,Curveball,98.8,31,378
AZ,HOU,83.4,Changeup,103.6,23,378
ATH,TEX,77.6,Curveball,104.8,33,378
LAA,NYM,86.7,Slider,106.7,25,378
ATL,PHI,77.8,Knuckle Curve,101.1,26,378
PHI,ATL,93.4,4,101,33,378
DET,CLE,77.2,Sweeper,100.6,29,377
CHC,PIT,85.5,Slider,104.1,31,377
SEA,CLE,85.3,Slider,99,32,377
CLE,CWS,86.5,Cutter,103.1,33,377
LAD,CHC,78.6,Changeup,100.9,36,377
NYY,CLE,95.8,4,105.1,28,377
BAL,ATH,86.2,Slider,100.1,31,377
SD,CIN,94.2,4,99.5,25,377
BOS,SD,93.9,4,103,27,377
TEX,TB,86.1,Slider,110,23,377
DET,NYY,90.1,4,104.4,38,377
TOR,STL,93.2,4,104.4,25,377
SD,AZ,82.6,Sweeper,103.7,25,377
AZ,SF,75.5,Slider,95.4,33,377
HOU,CHC,83.6,Sweeper,106.3,22,377
NYY,ATH,91.8,Cutter,110,42,377
TB,ATH,93.9,4,102.2,41,377
TEX,PIT,83.9,Changeup,100.6,29,377
TOR,LAA,92.2,Cutter,101.2,36,377
AZ,LAD,91.9,Cutter,105,23,377
CHC,BOS,96.1,Sinker,101.6,34,377
TOR,SEA,92.8,4,102.3,24,377
ATH,NYY,84.5,Sinker,104.4,35,377
SD,COL,81.1,Curveball,101.9,22,377
SF,AZ,88.2,Slider,101.5,24,377
STL,PHI,91.4,4,101.5,40,377
MIL,ATL,82.8,Slider,98.3,29,377
MIA,NYY,93.4,4,98.1,37,377
DET,KC,96.6,Sinker,103.9,28,377
TEX,CLE,91.3,4,105.5,23,377
CHC,SEA,94.7,Sinker,98.3,29,377
CHC,MIL,96.3,4,106.5,24,377
LAD,SD,90.9,Changeup,99.7,29,377
SEA,MIN,97.7,4,101.6,35,377
CIN,CHC,90.4,Slider,98.4,32,377
LAA,TEX,85.2,Changeup,98.2,30,377
NYM,SF,92.1,4,104.1,27,377
NYY,TB,88.7,Slider,106.1,34,377
ATH,MIA,87.8,Slider,102.8,26,377
TEX,BAL,83.8,Split-Finger,101.8,35,377
AZ,CWS,91.2,Changeup,100,27,377
NYM,TOR,95.1,4,101.2,31,377
BOS,BAL,92.9,4,101.4,33,377
TOR,BAL,96.1,4,98.1,38,377
NYY,AZ,93.9,Cutter,100,25,377
DET,CWS,89.1,Cutter,105,35,377
PHI,TOR,93.2,4,100.3,31,377
ATL,CHC,91.1,4,104.5,23,377
DET,SEA,95.4,Sinker,110.8,20,377
HOU,DET,93.1,Sinker,102.2,22,377
BOS,MIA,93.6,4,97.8,30,377
LAD,NYY,92.5,Cutter,112.5,42,377
CIN,PHI,96.9,4,100.3,31,377
MIN,TB,90.5,Cutter,99.6,31,377
ATL,NYM,95.7,4,99.2,28,377
NYY,SEA,93.6,4,107,26,377
MIA,CHC,88.1,Cutter,107,37,377
SEA,LAA,94.6,4,103.3,27,377
MIA,SD,84.5,Knuckle Curve,106.1,20,377
MIL,AZ,89.6,4,107,24,377
MIN,TOR,89.2,4,113.7,21,377
CIN,DET,90.7,4,102.1,25,376
NYY,CHC,92.5,4,102,35,376
WSH,NYM,93.6,Sinker,104.8,38,376
ATH,CWS,88,Slider,97.8,30,376
NYY,TOR,87.6,Cutter,104.2,28,376
LAD,PIT,84.7,Cutter,99.9,25,376
LAA,PIT,94.5,4,102.2,35,376
ATH,TEX,84,Changeup,104.1,21,376
NYM,PHI,76.9,Knuckle Curve,101.2,29,376
SEA,TB,95.6,Sinker,112.9,23,376
LAD,COL,83.4,Slider,98.8,33,376
PIT,BAL,95,Sinker,100,23,376
DET,NYY,86.4,Changeup,108.9,21,376
CLE,CWS,87.4,4,104.6,34,376
DET,CIN,90,Cutter,99.9,26,376
COL,SF,81.6,Slurve,104.8,22,376
MIN,KC,86.5,Slider,104,23,376
ATH,TB,96.9,4,102.8,30,376
SF,STL,91.7,4,108.3,43,376
CHC,NYM,79.6,Sweeper,98.7,31,376
PHI,ATH,84.2,Slider,103.7,28,376
MIL,NYM,91,4,110.1,24,376
AZ,KC,83.1,Sweeper,96.8,35,376
TB,TOR,83.1,Sweeper,105.5,27,376
CHC,NYM,94,4,105.3,37,376
ATL,WSH,82.4,Slurve,100.5,24,376
LAD,DET,89.8,Changeup,96.7,30,376
BAL,TOR,94.6,Sinker,106.1,31,376
TOR,MIN,92.8,Changeup,101.5,35,376
CHC,DET,84.9,Changeup,104.9,20,376
STL,MIN,97.9,4,99.3,30,376
CWS,LAA,92.5,Changeup,100.8,27,376
MIL,ATL,83.4,Sweeper,101.3,26,376
TEX,LAA,85.5,Slider,99.9,35,376
NYY,TEX,81.6,Slider,104.8,34,376
COL,NYM,81.8,Forkball,103.7,30,376
LAD,NYY,78.1,Changeup,95.9,36,376
TOR,ATH,83.3,Slider,98.6,29,376
CWS,CHC,93.4,4,103.8,37,376
MIN,BOS,87.5,Slider,99,30,376
WSH,MIN,94.5,Sinker,98.4,29,376
SEA,CIN,86.4,Cutter,108.2,22,376
CIN,WSH,75.4,Sweeper,97,29,376
AZ,NYM,95.1,4,96.4,27,376
AZ,NYY,83.8,Split-Finger,109.2,36,376
SF,MIA,83.9,Slider,107.6,20,376
CIN,ATL,86,Slider,104,22,376
LAD,TB,90.2,Cutter,111.2,26,376
ATH,AZ,87.6,Slider,100.4,41,376
TOR,CIN,92.4,4,102.3,21,376
CLE,BOS,89.3,Cutter,97.8,29,376
WSH,CHC,100.6,4,101.8,23,376
CLE,TB,85.1,Slider,97.5,31,376
NYY,TB,92.4,4,103.4,35,376
TOR,TEX,86.8,Cutter,100.1,34,376
MIN,DET,93.1,Sinker,110.4,18,376
MIL,CHC,96.8,4,102.9,28,376
LAD,SF,100.5,4,98.9,31,376
PIT,CHC,101,4,102,29,376
TOR,DET,95.7,4,103.2,27,376
ATH,HOU,86.3,Changeup,102.3,26,376
SEA,LAA,86.8,Slider,110.4,18,376
BAL,SF,80.6,Curveball,103,27,376
MIL,PHI,85.2,Curveball,110.3,18,375
ATL,HOU,91.6,4,110.7,25,375
LAA,SEA,97,4,101.2,24,375
CIN,ATH,96.9,4,104.2,37,375
CLE,CWS,86.4,Sinker,101.5,36,375
PIT,WSH,84,Changeup,100.6,29,375
BAL,DET,93.5,4,101.6,28,375
CWS,SEA,82.3,Split-Finger,101.4,38,375
NYY,MIN,97.8,4,98.9,31,375
NYY,MIN,88.9,Cutter,110.7,24,375
MIL,AZ,80.3,Knuckle Curve,108.4,18,375
ATL,TB,97.5,4,102.1,26,375
MIL,SF,94.5,4,100.1,36,375
CWS,TB,91.8,Sinker,103,32,375
LAA,MIN,89.7,Cutter,99.2,30,375
LAA,TB,93.5,4,102.3,34,375
TB,LAA,98.4,4,104.2,29,375
AZ,SEA,82.3,Sweeper,96.3,35,375
MIA,AZ,94.9,4,104.3,24,375
NYY,SD,89.3,Changeup,107.9,24,375
MIN,COL,93.3,4,95.1,33,375
DET,CLE,72.4,Curveball,99.6,30,375
TOR,SF,86.1,Slider,99.7,43,375
PHI,LAA,83.2,Sweeper,105.7,22,375
ATH,CLE,80,Changeup,94,32,375
BOS,DET,83.6,Changeup,99.7,32,375
BOS,DET,83.6,Slider,103.3,37,375
NYM,CHC,92.3,4,101.4,31,375
HOU,KC,82.5,Sweeper,98.7,26,375
TB,MIA,82.9,Sweeper,102.9,21,375
TEX,LAA,74.8,Curveball,105.2,24,375
BAL,COL,86.9,Cutter,107.6,26,375
SD,STL,82.5,Slider,97.8,30,375
NYY,PHI,74.7,Curveball,102.7,39,375
SD,SF,93.1,Sinker,106.9,19,375
CWS,BOS,79.8,Sweeper,103.5,29,375
ATL,TOR,87.9,Split-Finger,103.9,34,375
DET,KC,84.4,Changeup,106.3,41,375
CLE,TOR,95.1,4,103,32,375
STL,CIN,85.9,Sweeper,95.5,31,375
SF,CIN,91.5,Sinker,104,37,375
CWS,LAA,84.1,Cutter,99.6,40,375
LAA,HOU,95.7,Sinker,106.8,38,375
DET,STL,81.7,Sweeper,108.3,31,375
CWS,CHC,93.2,4,102.1,36,375
AZ,BOS,84,Curveball,105.8,25,375
CHC,SEA,88.3,Changeup,111.9,26,375
STL,NYY,94.5,Cutter,100.4,34,375
TOR,TEX,56.1,Eephus,99.6,32,375
TB,DET,95.2,4,96.7,37,375
BAL,ATL,84.7,Slider,98.1,36,375
MIA,MIL,82.7,Sweeper,100.2,33,375
LAA,LAD,97.3,4,102.9,29,375
MIL,PIT,97.9,4,96.9,28,375
MIA,CHC,92.3,4,98.9,34,375
MIA,CHC,81.5,Sweeper,101.4,31,375
CIN,CLE,84.6,Cutter,99.4,34,375
TOR,TEX,89.1,Slider,105.6,24,374
MIA,SD,82.3,Sweeper,108.1,24,374
NYM,TB,94.4,4,107.6,23,374
MIN,HOU,88.5,Cutter,103.8,25,374
SD,NYM,85.3,Sweeper,105.6,24,374
NYY,MIN,94.7,Sinker,100.8,24,374
MIN,AZ,93.9,Sinker,101.9,23,374
CHC,STL,88,Slider,106.7,25,374
DET,LAA,95.7,4,106.1,37,374
ATL,MIA,89.9,Slider,96.1,26,374
MIL,NYM,91.1,4,95.7,31,374
SF,WSH,77.2,Curveball,103.2,40,374
CLE,PIT,93.4,4,104.4,34,374
ATL,STL,86.7,Slider,99.5,26,374
MIL,COL,75.2,Curveball,96.4,26,374
HOU,MIA,88.6,Cutter,104.9,25,374
CIN,DET,79.1,Knuckle Curve,109.8,23,374
BAL,TB,72.9,Other,99.2,26,374
DET,MIN,83.2,Changeup,99.6,31,374
MIN,KC,93,4,104.1,40,374
CHC,CIN,95.6,4,102.1,29,374
PHI,TB,92.8,Sinker,100.4,31,374
WSH,CLE,91.3,Cutter,114.6,21,374
ATH,LAD,85.1,Slider,104.2,22,374
PIT,MIA,94.3,4,101,23,374
DET,CHC,79.3,Curveball,102.3,35,374
KC,BOS,98.3,4,102.5,25,374
MIN,CWS,93,Sinker,101.6,37,374
WSH,LAD,91.1,Cutter,103.7,24,374
LAD,NYY,97.2,Sinker,99.7,28,374
MIN,SEA,95.8,4,100.3,23,374
NYM,SF,98.6,4,103,31,374
MIA,PHI,94.6,4,94.8,28,374
ATH,CWS,83.7,Slider,103.9,28,374
BAL,KC,96.2,4,107,23,374
MIN,CLE,93,4,102.5,34,374
BAL,BOS,93.6,Sinker,108.4,22,374
BAL,SEA,94.8,4,101.4,28,374
CIN,MIL,95.6,4,102.6,27,374
HOU,LAA,87.1,Changeup,100.4,33,374
DET,CWS,87,Cutter,104.4,25,374
TOR,NYY,89.1,4,102.2,25,374
SEA,ATL,92.1,Sinker,100.2,38,374
PIT,COL,95.3,4,106.7,22,374
KC,TEX,94.4,4,105.6,19,374
AZ,COL,95,4,98.6,38,374
DET,HOU,82.3,Split-Finger,97.1,29,374
KC,CWS,95.6,4,99.9,40,374
DET,ATL,93.9,4,98.2,28,374
CLE,HOU,88.4,Cutter,102.5,35,374
WSH,NYM,91.4,4,98.2,31,374
MIN,BAL,82.6,Sweeper,98.9,27,374
NYM,LAA,87.4,4,95.8,37,374
TEX,TOR,93.8,4,113.1,23,373
WSH,COL,79.9,Cutter,104.6,25,373
NYM,SD,89.2,Slider,102.3,27,373
TEX,HOU,91.5,4,100.8,24,373
LAA,AZ,91.8,4,104,34,373
PIT,CIN,90.1,4,100.4,35,373
KC,MIN,83.3,Curveball,96.5,28,373
ATH,BOS,90.7,Cutter,97.4,30,373
NYM,WSH,87.5,Slider,103.9,37,373
PHI,CHC,92,4,105.5,40,373
LAA,WSH,75.1,Curveball,101,27,373
BOS,CIN,75.9,Sweeper,97.8,27,373
CLE,DET,90.4,4,97.4,31,373
CHC,BOS,81.8,Split-Finger,98.3,29,373
CHC,CIN,86.2,4,108.9,21,373
NYY,SD,98.1,4,102.4,30,373
LAA,PHI,87.4,Split-Finger,105.5,23,373
BAL,TB,85.4,Changeup,95.5,25,373
CLE,CHC,89.7,4,109.5,22,373
LAA,SD,94.2,4,110.3,23,373
CWS,CIN,95.3,4,101.7,33,373
WSH,PHI,96.1,4,98.5,32,373
NYY,MIL,95.4,4,103.8,38,373
CWS,KC,92.4,Sinker,102.4,38,373
BOS,NYY,92.3,Sinker,106.2,23,373
CIN,LAD,97,4,99.3,26,373
KC,DET,89.3,Cutter,103.3,38,373
CWS,STL,84.7,Changeup,105.8,28,373
PHI,MIL,86.3,Slider,99,26,373
PIT,SD,88.9,Cutter,99.3,30,373
NYM,COL,92.1,4,102.5,38,373
DET,TOR,92.3,Sinker,101.3,31,373
AZ,MIA,86.2,Changeup,98.2,32,373
ATL,TOR,89.3,Slider,99.9,29,373
SEA,TOR,92.7,4,113.1,20,373
ATH,MIA,91.4,Slider,98.2,31,373
HOU,DET,97.6,4,102.4,23,373
LAA,HOU,81.6,Sweeper,109.3,22,373
TB,KC,90.9,4,98.2,30,373
LAD,COL,92.7,4,101.6,27,373
MIA,ATL,93.9,4,106.5,25,373
DET,CWS,78.7,Curveball,109.2,26,373
TOR,PHI,92.3,4,100.8,34,373
PHI,TOR,82.4,Split-Finger,100.1,25,373
TOR,SD,83.1,Sweeper,102.7,35,373
WSH,BAL,78.7,Curveball,98.5,28,373
LAD,PIT,99.2,4,120,23,373
SEA,ATH,85.9,Slider,113.8,22,373
MIN,DET,93,4,98.4,34,373
HOU,LAD,95.3,4,98.2,31,373
CWS,TOR,90.6,4,98.4,28,373
HOU,CLE,95,Sinker,105,35,373
CIN,CHC,89.5,Cutter,105,21,373
CLE,MIN,92.4,4,104.2,25,373
STL,PHI,90.3,4,104.9,22,373
SF,ATH,96.8,4,99.6,27,373
BAL,BOS,92.9,4,105.8,39,372
CHC,CIN,82.7,Curveball,100.2,30,372
PIT,AZ,84,Slider,109,40,372
CIN,DET,96.4,Sinker,103.9,22,372
PIT,CHC,80.1,Changeup,103.9,35,372
HOU,TEX,97.1,4,102.2,29,372
SD,NYM,74.5,Sweeper,98.9,35,372
ATL,WSH,79.7,Curveball,99,30,372
ATL,STL,87.3,Cutter,102.1,40,372
MIA,MIL,89.9,Sinker,101.7,27,372
BOS,SEA,94.1,4,105.9,24,372
SD,DET,91.4,4,98.9,39,372
HOU,LAA,81.6,Curveball,102.5,37,372
NYY,SF,91.3,Cutter,113.2,22,372
AZ,SEA,89.2,Cutter,99.6,28,372
PHI,SD,75.9,Knuckleball,105.8,24,372
LAA,WSH,86.4,Slider,99.8,34,372
LAA,WSH,93.3,4,104.3,33,372
HOU,SEA,96.1,Sinker,100.4,26,372
CLE,DET,94.8,4,101.5,37,372
NYY,MIL,91.2,4,102.3,38,372
CWS,KC,89.2,Sinker,107.2,25,372
NYM,COL,96.2,4,94.4,33,372
CWS,KC,92.7,Sinker,107.9,20,372
SEA,LAA,96.8,Sinker,99,37,372
BOS,NYY,94.6,4,101,34,372
DET,MIN,82,Slider,103.3,23,372
NYY,BOS,95,4,105.1,41,372
BOS,BAL,84.9,Slider,100.5,30,372
MIN,MIL,92.9,Slider,105.6,44,372
NYY,PHI,88.3,Cutter,104.4,42,372
PIT,CLE,96.1,4,104,30,372
HOU,SD,83,Sweeper,107.5,21,372
SF,PHI,86.5,Slider,100.6,34,372
ATH,CWS,82.1,Slider,104.2,27,372
ATH,SEA,95.5,4,109.8,30,372
CHC,MIL,83.9,Changeup,102.4,36,372
MIL,CWS,86.8,Cutter,102.8,32,372
DET,ATH,78.8,Changeup,95.6,26,372
NYY,CLE,80.5,Sweeper,102.2,27,372
TOR,PHI,83.4,Slider,103.2,33,372
PHI,ATL,91.2,Cutter,98.5,37,372
BAL,SD,83,Sweeper,97.7,31,372
TOR,CIN,84.5,Split-Finger,102.9,38,372
WSH,CHC,97.4,4,108.8,34,372
SD,COL,92.5,4,103.1,23,372
SD,LAD,94.8,4,98.8,31,372
NYY,STL,86.5,Slider,95.8,28,372
NYY,NYM,97.2,4,102.8,26,372
SF,ATH,82.6,Sweeper,97.5,28,372
BAL,MIN,84.8,Slider,101.6,36,372
DET,TOR,95.7,4,106.3,28,372
CLE,BAL,81.4,Curveball,98.6,30,372
NYY,WSH,83,Slider,100.3,25,372
MIA,SD,97.4,4,99.1,28,371
MIA,SD,90,4,105.9,40,371
COL,CHC,82.7,Sweeper,102.8,23,371
CIN,DET,84.3,Slider,98.7,31,371
CWS,SD,90.1,Slider,100.3,24,371
CIN,ATH,90.7,Changeup,95,29,371
KC,PHI,83.2,Changeup,97.8,39,371
CWS,CLE,93,Sinker,97.7,34,371
BAL,CWS,93.1,Sinker,102.7,28,371
NYY,CHC,82.7,Split-Finger,99.5,33,371
NYY,CHC,73.1,Curveball,101.7,38,371
LAA,DET,94.5,4,98.1,33,371
LAA,HOU,88.5,Cutter,99,35,371
SD,COL,96.3,4,102.8,31,371
TEX,CHC,88.6,Slider,105.7,23,371
TEX,MIN,89.2,Sinker,100.2,29,371
TOR,BOS,93.8,4,103.2,35,371
TB,BAL,85.4,Changeup,107.6,24,371
NYM,CHC,91.3,4,101.2,29,371
MIN,BAL,82.4,Sweeper,101.5,25,371
WSH,PHI,96.1,4,99.2,33,371
DET,BOS,80.1,Sweeper,99.4,31,371
DET,MIN,80,Changeup,102.6,26,371
PIT,SF,96.8,4,100.4,30,371
AZ,CIN,98.7,4,96.1,41,371
CIN,MIN,92.2,4,101.2,27,371
PHI,MIL,94.1,Sinker,102.4,24,371
NYY,LAD,79.7,Curveball,102.7,29,371
AZ,DET,89.6,Changeup,103.2,22,371
NYM,STL,95.4,4,102,26,371
PHI,BAL,94.6,4,100.6,34,371
NYM,AZ,93.8,Cutter,99.2,30,371
DET,LAA,92.4,Cutter,103.8,28,371
CIN,STL,95.4,Sinker,98.5,27,371
MIL,CHC,82.7,Split-Finger,105.1,24,371
PHI,CWS,81.1,Sweeper,101.3,32,371
MIL,WSH,85.1,Slider,98.9,24,371
TEX,TB,99.7,4,110.7,23,371
TOR,SD,97.3,4,98.1,30,371
CWS,MIN,87.8,Slider,108.5,19,371
DET,SEA,88.3,Cutter,106.2,36,371
AZ,ATL,94.6,4,113.2,19,371
NYM,LAD,91.6,4,100.5,24,371
WSH,MIA,97.2,4,101.4,31,371
SEA,TB,96.4,4,102.9,26,371
LAA,CIN,86.8,Slider,110.3,20,371
BAL,WSH,79.6,Slurve,101.8,39,371
NYM,WSH,95.2,4,111.5,23,371
MIN,ATH,83.7,Changeup,101,22,371
SD,AZ,77.9,Sweeper,103.7,37,371
CHC,MIN,85.5,Slider,99,28,371
PHI,SF,90.9,Sinker,109.8,21,371
CIN,STL,97.1,4,101.8,25,371
NYM,MIA,81,Sweeper,105.5,25,371
BOS,NYY,93.6,Cutter,102.7,28,370
SEA,BOS,90.9,Changeup,106,43,370
PHI,TOR,95.8,4,101.1,30,370
STL,CWS,54.7,Eephus,98.7,26,370
LAD,SF,95.5,4,100.2,30,370
PHI,AZ,81.2,Sweeper,96.5,33,370
CHC,TB,94.1,4,105.5,27,370
SEA,MIA,61.1,Other,100.2,37,370
CHC,LAD,95.2,4,103.3,42,370
HOU,LAA,88.4,Changeup,104.8,37,370
HOU,TOR,85.5,Slider,102.5,25,370
COL,SF,94.4,4,93,32,370
AZ,SD,93.5,4,94.8,30,370
DET,BOS,81,Slider,99.9,34,370
CWS,CHC,89.3,4,102.6,38,370
CHC,STL,87.3,Slider,97.6,36,370
ATL,WSH,88.6,4,106.8,23,370
BAL,TB,86.3,Changeup,101.3,25,370
PHI,TB,97.3,4,103,33,370
NYM,NYY,87.6,Slider,99.4,27,370
MIL,NYY,94.6,4,103.9,25,370
HOU,CLE,89.6,Cutter,93.3,28,370
STL,TOR,86.9,Slider,107.4,22,370
NYY,BOS,97.2,4,103.7,29,370
SF,BOS,96.1,4,105.5,28,370
HOU,LAA,94.6,4,99.8,32,370
NYY,LAA,91.6,4,109.9,24,370
HOU,TB,98,Sinker,104.2,26,370
SD,NYM,94.7,4,99,35,370
AZ,MIA,95.9,4,101.4,25,370
LAD,COL,92.3,Sinker,99.8,35,370
WSH,COL,97,4,102.2,26,370
CHC,SD,93.8,Sinker,106.3,40,370
STL,NYM,90.9,Changeup,104.8,26,370
COL,LAD,97.5,4,102.3,31,370
LAD,MIA,82.2,Curveball,99.9,38,370
BOS,MIN,51.6,Eephus,103.4,28,370
KC,TOR,84.8,Split-Finger,97.7,31,370
WSH,HOU,81.4,Changeup,97.1,29,370
SEA,TEX,95,4,101.4,29,370
TEX,NYY,84.1,Cutter,110.4,28,370
DET,ATH,92.7,Sinker,102,35,370
CHC,STL,95.1,Sinker,98.8,27,370
COL,PHI,94,Sinker,99.6,31,370
MIA,TB,96.1,4,101.3,24,370
CIN,STL,94.3,4,100.1,31,370
DET,CWS,80.2,Changeup,96.2,31,370
BOS,NYY,85.5,Slider,107.4,35,370
DET,CLE,97.8,4,98,26,370
MIL,MIA,88,Slider,106.6,21,370
TEX,SD,83.7,Slider,97.3,31,370
